# How to identify MacBook Pro models
# Taken from http://support.apple.com/kb/ht4132

### MacBook Pro 13-inch

MacBook Pro (Retina, 13-inch, Late 2013)	MacBookPro11,1
iMac (20-inch, Early 2008)	 iMac8,1	MB388XX/A
iMac (20-inch, Early 2008)	 iMac8,1	MB391XX/A
iMac (24-inch, Early 2008)	 iMac8,1	MB393XX/A
iMac (24-inch, Early 2008)	 iMac8,1	MB398XX/A
iMac (20-inch, Mid 2007)	iMac7,1	MA876XX/A
iMac (20-inch, Mid 2007)	iMac7,1	MA877XX/A
iMac (24-inch, Mid 2007)	iMac7,1	MA878XX/A
iMac (20-inch, Mid 2007)	iMac7,1	MB199XX/A
iMac (20-inch, Mid 2007)	iMac7,1	MB200XX/A
iMac (24-inch, Mid 2007)	iMac7,1	MB201XX/A
iMac (24-inch, Mid 2007)	iMac7,1	MB322XX/A
iMac (24-inch Mid 2007)	iMac7,1	MA878XX/A
iMac (20-inch Mid 2007)	iMac7,1	MA877XX/A
iMac (20-inch Mid 2007)	iMac7,1	MA876XX/A
iMac (24-inch)	 	MA456xx/A
iMac (20-inch Late 2006)	iMac5,1	MA589xx/A
iMac (17-inch Late 2006)	iMac5,1	MA590xx/A
iMac (17-inch Late 2006 CD)	iMac5,2	MA710xx/A
17-inch iMac (Mid 2006), 1.83 GHz Intel Core Duo	iMac4,2	MA406xx/A
20-inch iMac (Early 2006), 2.0 GHz Intel Core Duo	iMac4,1	MA200xx/A
17-inch iMac (Early 2006), 1.83 GHz Intel Core Duo	iMac4,1	MA199xx/A
20-inch iMac G5 (iSight), 2.1 GHz	 	MA064xx/A
17-inch iMac G5 (iSight), 1.9 GHz	 	MA063xx/A
17-inch iMac G5 (Ambient Light Sensor), 1.8 GHz	 	M9843xx/A
17-inch iMac G5 (Ambient Light Sensor), 2.0 GHz	 	M9844xx/A
20-inch iMac G5 (Ambient Light Sensor), 2.0 GHz	 	M9845xx/A
17-inch iMac G5, 1.6 GHz	 	M9248xx/A
17-inch iMac G5, 1.8 GHz	 	M9249xx/A
20-inch iMac G5, 1.8 GHz	 	M9250xx/A

